protocol,edges,runtime,corpus,objectives,executions,exec_per_sec,solutions,timeouts,samples,reached_harness
EfiUgaDraw,6167,0h-9m-34s,68,0,1092,1.923,0,0,57,True
EfiUgaIo,393,0h-0m-39s,11,0,5618,11.02,0,0,8,True
EfiUnicodeCollation,5173,0h-10m-1s,173,0,4426,7.431,0,0,110,True
EfiUsb2Hc,9550,0h-9m-25s,123,0,1697,3.032,0,0,92,True
EfiUsbFunctionIo,652,0h-2m-39s,40,0,5614,10.49,0,0,19,True
EfiUsbHc,582,0h-7m-45s,41,0,5427,9.572,0,0,20,True
EfiUsbIo,8581,0h-0m-46s,28,0,98,1.812,0,0,45,True
EfiUserCredential,2377,0h-8m-14s,47,0,3932,7.167,0,0,30,True
EfiUserCredential2,2368,0h-8m-59s,41,0,3888,6.74,0,0,30,True
EfiUserManager,550,0h-3m-30s,31,0,5966,10.6,0,0,17,True
EfiVlanConfig,36277,0h-7m-23s,19,0,126,0.288,0,0,10,True
EfiWatchdogTimerArch,1314,0h-9m-21s,31,0,9498,16.93,0,0,21,True
EfiWiFi,431,0h-6m-46s,17,0,6006,10.62,0,0,11,True
EfiWiFi2,397,0h-0m-43s,8,0,6494,11.66,0,0,4,True
EsrtManagement,449,0h-3m-19s,17,0,5980,10.43,0,0,9,True
GetPcdInfo,8377,0h-9m-39s,24,0,183,0.319,0,0,15,True
HiiConfig,17511,0h-6m-57s,6,2,9,0.019,2,2,6,True
HiiStack,20067,0h-8m-20s,26,10,92,0.186,10,0,9,True
NetBoot,18619,0h-1m-44s,61,0,543,5.495,0,0,30,True
Pcd,6336,0h-1m-42s,6,0,39,0.086,0,35,5,True
PciBinding,6394,0h-0m-41s,6,0,6,0.164,0,0,2,True
ShellPaths,20705,0h-2m-34s,8,1,71,0.539,1,3,5,True
SmiTest,4511,0h-1m-0s,51,0,820,14.77,0,0,26,True
TcpStack,24304,0h-9m-56s,75,118,2151,3.639,109,0,146,True
